,GCMVL,VarLiNGAM,PCMCI+,PCGCE,Dynotears,TiMINo,NBCB-w,NBCB-e,CBNB-w,CBNB-e
GCMVL,1.0,0.10747051114023591,0.1167076167076167,0.1067853170189099,0.18085106382978725,0.09772727272727273,0.11728395061728394,0.12291666666666666,0.11728395061728394,0.12903225806451613
VarLiNGAM,0.10747051114023591,1.0,0.8078703703703703,0.8311111111111111,0.23869346733668342,0.8150224215246636,0.8032407407407407,0.5643044619422573,0.8032407407407407,0.55
PCMCI+,0.1167076167076167,0.8078703703703703,1.0,0.9022222222222223,0.2789281364190012,0.8804469273743016,0.9926289926289926,0.5298416565164433,0.9926289926289926,0.5146341463414634
PCGCE,0.1067853170189099,0.8311111111111111,0.9022222222222223,1.0,0.26362625139043383,0.967741935483871,0.8977777777777778,0.492769744160178,0.8977777777777778,0.4771968854282536
Dynotears,0.18085106382978725,0.23869346733668342,0.2789281364190012,0.26362625139043383,1.0,0.27241379310344827,0.2818627450980392,0.16638078902229847,0.2818627450980392,0.1746031746031746
TiMINo,0.09772727272727273,0.8150224215246636,0.8804469273743016,0.967741935483871,0.27241379310344827,1.0,0.8759776536312849,0.4988584474885845,0.8759776536312849,0.4811858608893957
NBCB-w,0.11728395061728394,0.8032407407407407,0.9926289926289926,0.8977777777777778,0.2818627450980392,0.8759776536312849,1.0,0.526829268292683,1.0,0.5097560975609756
NBCB-e,0.12291666666666666,0.5643044619422573,0.5298416565164433,0.492769744160178,0.16638078902229847,0.4988584474885845,0.526829268292683,1.0,0.526829268292683,0.7616161616161616
CBNB-w,0.11728395061728394,0.8032407407407407,0.9926289926289926,0.8977777777777778,0.2818627450980392,0.8759776536312849,1.0,0.526829268292683,1.0,0.5097560975609756
CBNB-e,0.12903225806451613,0.55,0.5146341463414634,0.4771968854282536,0.1746031746031746,0.4811858608893957,0.5097560975609756,0.7616161616161616,0.5097560975609756,1.0
