source,target,num_algorithms,algorithms,avg_stability,max_stability,min_stability
pressure_mean,pressure_mean,5,"GCMVL, VarLiNGAM, PCMCI+, NBCB-w, CBNB-w",99.0,100.0,98.0
rotate_mean,rotate_mean,5,"GCMVL, VarLiNGAM, PCMCI+, NBCB-w, CBNB-w",98.8,100.0,98.0
rotate_mean,rotate_min,5,"GCMVL, PCGCE, Dynotears, NBCB-w, CBNB-w",98.4,100.0,92.0
rotate_max,rotate_mean,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",100.0,100.0,100.0
rotate_min,rotate_mean,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",100.0,100.0,100.0
pressure_max,pressure_mean,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",100.0,100.0,100.0
vibration_max,vibration_mean,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",100.0,100.0,100.0
volt_max,volt_mean,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",100.0,100.0,100.0
vibration_mean,vibration_max,4,"PCGCE, Dynotears, NBCB-w, CBNB-w",100.0,100.0,100.0
pressure_mean,pressure_max,4,"PCGCE, Dynotears, NBCB-w, CBNB-w",100.0,100.0,100.0
pressure_min,pressure_mean,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",99.75,100.0,99.0
volt_mean,volt_max,4,"PCGCE, Dynotears, NBCB-w, CBNB-w",99.5,100.0,99.0
vibration_mean,vibration_min,4,"PCGCE, Dynotears, NBCB-w, CBNB-w",99.5,100.0,99.0
vibration_min,vibration_mean,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",99.25,100.0,99.0
pressure_mean,pressure_min,4,"PCGCE, Dynotears, NBCB-w, CBNB-w",99.0,100.0,98.0
vibration_mean,vibration_mean,4,"VarLiNGAM, PCMCI+, NBCB-w, CBNB-w",98.5,100.0,98.0
volt_min,volt_mean,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",98.5,100.0,98.0
volt_mean,volt_min,4,"PCGCE, Dynotears, NBCB-w, CBNB-w",98.5,100.0,97.0
rotate_mean,rotate_max,4,"PCGCE, Dynotears, NBCB-w, CBNB-w",98.0,100.0,96.0
volt_mean,volt_mean,4,"VarLiNGAM, PCMCI+, NBCB-w, CBNB-w",94.0,100.0,92.0
maint_comp2,failure_comp2,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",90.25,94.0,89.0
maint_comp1,failure_comp1,4,"VarLiNGAM, PCGCE, NBCB-e, CBNB-e",83.25,87.0,81.0
error3_count,failure_comp2,3,"PCMCI+, NBCB-w, CBNB-w",88.0,88.0,88.0
failure_comp2,maint_comp2,3,"PCGCE, NBCB-w, CBNB-w",85.66666666666667,91.0,83.0
error2_count,failure_comp2,3,"PCMCI+, NBCB-w, CBNB-w",85.33333333333333,86.0,85.0
error1_count,failure_comp1,3,"PCMCI+, NBCB-w, CBNB-w",80.0,80.0,80.0
vibration_std,vibration_max,2,"PCGCE, Dynotears",100.0,100.0,100.0
vibration_std,vibration_min,2,"PCGCE, Dynotears",100.0,100.0,100.0
pressure_std,pressure_min,2,"PCGCE, Dynotears",100.0,100.0,100.0
rotate_std,rotate_max,2,"PCGCE, Dynotears",100.0,100.0,100.0
rotate_std,rotate_min,2,"PCGCE, Dynotears",100.0,100.0,100.0
pressure_std,pressure_max,2,"PCGCE, Dynotears",100.0,100.0,100.0
volt_std,volt_max,2,"PCGCE, Dynotears",100.0,100.0,100.0
volt_std,volt_min,2,"PCGCE, Dynotears",100.0,100.0,100.0
pressure_std,pressure_mean,2,"PCGCE, Dynotears",99.0,100.0,98.0
pressure_min,pressure_max,2,"PCGCE, Dynotears",94.5,100.0,89.0
vibration_std,vibration_mean,2,"PCGCE, Dynotears",88.0,91.0,85.0
error3_count,rotate_mean,2,"PCGCE, Dynotears",84.5,89.0,80.0
