source,target,category,num_algorithms,algorithms,avg_stability,max_stability,min_stability,source_type,target_type
error3_count,failure_comp2,Error -> Failure,5,"CBNB-w, NBCB-w, PCGCE, PCMCI+, TiMINo",74.4,88.0,51.0,error,failure
error1_count,failure_comp1,Error -> Failure,4,"CBNB-w, NBCB-w, PCMCI+, TiMINo",73.25,80.0,53.0,error,failure
error2_count,failure_comp2,Error -> Failure,5,"CBNB-w, NBCB-w, PCGCE, PCMCI+, TiMINo",72.6,86.0,51.0,error,failure
error3_count,failure_comp1,Error -> Failure,1,TiMINo,60.0,60.0,60.0,error,failure
error3_count,failure_comp4,Error -> Failure,1,TiMINo,59.0,59.0,59.0,error,failure
error4_count,failure_comp4,Error -> Failure,1,TiMINo,59.0,59.0,59.0,error,failure
error1_count,failure_comp4,Error -> Failure,1,TiMINo,57.99999999999999,57.99999999999999,57.99999999999999,error,failure
error4_count,failure_comp3,Error -> Failure,1,TiMINo,56.99999999999999,56.99999999999999,56.99999999999999,error,failure
error2_count,failure_comp4,Error -> Failure,1,TiMINo,56.00000000000001,56.00000000000001,56.00000000000001,error,failure
error4_count,failure_comp1,Error -> Failure,1,TiMINo,56.00000000000001,56.00000000000001,56.00000000000001,error,failure
error2_count,failure_comp3,Error -> Failure,1,TiMINo,54.0,54.0,54.0,error,failure
error3_count,failure_comp3,Error -> Failure,1,TiMINo,53.0,53.0,53.0,error,failure
error5_count,failure_comp4,Error -> Failure,1,TiMINo,53.0,53.0,53.0,error,failure
error1_count,failure_comp3,Error -> Failure,1,TiMINo,52.0,52.0,52.0,error,failure
error2_count,failure_comp1,Error -> Failure,1,TiMINo,51.0,51.0,51.0,error,failure
rotate_min,failure_comp2,Sensor -> Failure,1,PCGCE,66.0,66.0,66.0,rotate,failure
pressure_mean,failure_comp4,Sensor -> Failure,1,TiMINo,65.0,65.0,65.0,pressure,failure
rotate_mean,failure_comp2,Sensor -> Failure,5,"CBNB-w, NBCB-w, PCGCE, PCMCI+, TiMINo",64.8,73.0,50.0,rotate,failure
volt_mean,failure_comp1,Sensor -> Failure,4,"CBNB-w, NBCB-w, PCMCI+, TiMINo",63.25,67.0,52.0,volt,failure
pressure_min,failure_comp4,Sensor -> Failure,1,TiMINo,63.0,63.0,63.0,pressure,failure
